City ID,City,Lat,Lng,Max Temp,Min Temp,Temp,Humidity,diurnal range
0,Willamette Valley,44.0001,-120.5014,60.03,55.22,55.24,39,4.810000000000002
1,Lake Michigan Shore,44.2503,-85.5003,71.67,68.5,71.49,83,3.1700000000000017
2,Navarra,42.75,-1.6667,53.53,51.12,51.13,93,2.4100000000000037
3,Vittoria,36.9537,14.5332,73.92,73.92,73.92,78,0.0
4,Alsace,48.5,7.5,53.74,53.31,53.31,87,0.4299999999999997
5,Napa Valley,38.4832,-122.3344,82.18,66.11,74.05,22,16.070000000000007
6,Alexander Valley,38.3004,-76.5074,73.06,62.71,66.9,76,10.350000000000001
7,Central Coast,-41.27,146.0592,51.44,51.44,51.44,57,0.0
8,Cafayate,-26.073,-65.9761,55.87,55.87,55.87,86,0.0
9,Mendoza,-32.8908,-68.8272,58.53,58.53,58.53,51,0.0
10,Ribera del Duero,40.0,-4.0,57.45,54.57,57.45,55,2.8800000000000026
11,Virginia,37.5481,-77.4467,66.18,62.31,64.51,88,3.8700000000000045
12,Oregon,44.0001,-120.5014,60.03,55.22,55.24,39,4.810000000000002
13,Sicilia,37.75,14.25,63.88,63.88,63.88,54,0.0
14,Paso Robles,35.6266,-120.691,84.49,71.46,84.49,23,13.030000000000001
15,Sonoma Coast,38.3004,-76.5074,73.06,62.71,66.9,76,10.350000000000001
16,Terre Siciliane,32.184,-96.8847,91.54,84.11,87.62,37,7.430000000000007
17,Cerasuolo di Vittoria,32.184,-96.8847,91.54,84.11,87.62,37,7.430000000000007
18,Clarksburg,39.2807,-80.3445,73.13,72.05,72.05,68,1.0799999999999983
19,Dry Creek Valley,38.3004,-76.5074,73.06,62.71,66.9,76,10.350000000000001
20,Sonoma Valley,38.3004,-76.5074,73.06,62.71,66.9,76,10.350000000000001
21,McMinnville,45.2101,-123.1987,70.05,66.25,67.17,52,3.799999999999997
22,Puglia,41.25,16.25,67.32,63.9,67.32,69,3.4199999999999946
23,Beaujolais,29.7858,-90.7681,80.6,77.0,78.37,91,3.5999999999999943
24,Lake County,42.3334,-88.0006,78.51,72.93,77.65,73,5.579999999999998
25,Monticello,45.3055,-93.7941,60.75,55.62,57.29,85,5.130000000000003
26,Brouilly,29.7858,-90.7681,80.6,77.0,78.37,91,3.5999999999999943
27,Monica di Sardegna,32.184,-96.8847,91.54,84.11,87.62,37,7.430000000000007
28,Bordeaux Blanc,44.8404,-0.5805,57.47,51.78,57.47,100,5.689999999999998
29,North Coast,38.3004,-76.5074,73.06,62.71,66.9,76,10.350000000000001
30,Columbia Valley (WA),47.5001,-120.5015,66.69,54.64,63.41,51,12.049999999999997
31,Romagna,44.8239,10.0797,62.4,62.4,62.4,96,0.0
32,Champagne,48.0219,0.331,58.89,58.89,58.89,94,0.0
